wallet,num_tokens,num_txns
0xb3f560952eb6cb1595bc4715d541b39bc1b08665,3,3
0xcd5bd47d3d1d8412b241ce9015c5032142948c12,3,3
0x21375e8ff94a9acad555e0d8a4f17c69c5e33bd5,3,3
0xb758b6576221a7504a7211307092c23d3ee191c9,4,4
0x5e8304b5600cccba6d6292c6687ac9ead0ec6288,4,5
0x6c1c420c04f4d563d6588a97693af902b87be5f1,4,5
0x9797021d4acc56b30a77d82306d7c3f22aabb5c8,3,5
0x90f75cdd4dde8c17dbe99260f2220f9919378905,3,5
0x9e99351fc758032d4fb04d839a2a8704a93de517,3,5
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,3,5
0x1d283807630ffb876a5d78b8e0788e491449f241,3,5
0x39041f1b366fe33f9a5a79de5120f2aee2577ebc,4,6
0x528f3e771a5d15ca265db606e29989da008ce6c3,3,6
0x562680a4dc50ed2f14d75bf31f494cfe0b8d10a1,4,7
0x120051a72966950b8ce12eb5496b5d1eeec1541b,3,7
0x68abef9e0d00954fa536830cfe721e28e7290a3c,4,8
0x4f2753ead681f1b3ac6496f8a97b2eed63b19726,3,8
0xac38e6ba918587efd3752a580ed8426dc7a57bdd,4,9
0x457dde0290ecff2d21d71869975ed3ab6f5d0648,3,9
0x8b27cd7b03f285b32186d1f6b114e4333e4fb181,3,9
0xd782e53a49d564f5fce4ba99555dd25d16d02a75,3,9
0x000000000000000000000000000000000000dead,3,10
0x3bc2b2bc5125eacdc64a8188b135a2997dd7324b,3,10
0xadbe190d8557eec6710a224d8ea0c9b64a04bc1d,3,11
0xd9408f29026e32852aff8c5c9c8ea834b44b4e1c,3,14
0x84fc943c3a28ef1246f9ad29dca527e415090157,3,17
0x839d4641f97153b0ff26ab837860c479e2bd0242,3,18
0x42b27c044a22acaff04146aa243753ee617a59b5,3,19
0x5828eff23f92e582ddf4fbbc2900e7448e45bd6c,5,24
0x13307b8854a95946b54a904100afd0767a7a577b,3,26
0x8f8097a2af8ecb317f05ff284069afaa87763952,4,32
0xcc88036fa05c86129bf66260c2a905ab2c7b663c,3,40
0x00000000000124d994209fbb955e0217b5c2eca1,4,45
0x6cc8dcbca746a6e4fdefb98e1d0df903b107fd21,4,47
0x8eb2283f696f2a130134d46e28d3528e19e16868,3,47
0xfdf802b326c9496dc29d19011c74603a6d9194eb,3,71
0x95b564f3b3bae3f206aa418667ba000afafacc8a,3,91
0x382ffce2287252f930e1c8dc9328dac5bf282ba1,11,103
