name,price,change,href_id,api_id,symbol,contract_address
DAYSTARTER,$0.149196,332.7%,daystarter,daystarter,dst,0xe3a46b2bc1d83c731d58cab765d3b45bce789095
Dogger,$0.000268971547,251.9%,dogger,dogger,dogger,0xb3cc3d7e656893f22d2372b0ae57106f6b155cbe
Leverj Gluon,$0.003316349070,201.4%,leverj-gluon,leverj-gluon,l2,0xbbff34e47e559ef680067a6b1c980639eeb64d24
CIA,$0.000008713445,124.9%,cia,cia,cia,0x52f4d5ee6c91e01be67ca1f64b11ed0ee370817d
ELYFI,$0.020168036640,86.6%,elyfi,elyfi,elfi,0x4da34f8264cb33a5c9f17081b9ef5ff6091116f4
Stone,$0.023782654237,85.2%,stone-token,stone-token,stn,0xe63d6b308bce0f6193aec6b7e6eba005f41e36ab
Deesse,$0.001003252321,69.7%,deesse,deesse,love,0xde4ce5447ce0c67920a1371605a39187cb6847c8
Delrey Inu,$1.07,68.6%,delrey-inu,delrey-inu,delrey,0xfca89d55a768375ab7ca04485a35a964bea828dd
Shibarium Perpetuals,$0.001951280445,61.6%,shibarium-perpetuals,shibarium-perpetuals,serp,0xfd414e39155f91e94443a9fe97e856569d0f5eec
Sharbi,$0.000011548163,55.7%,sharbi,sharbi,$sharbi,0xf3a3023e6dede84ad88a656a3269f2a36e83c9a9
DeathWolf,$0.000134026670,50.8%,deathwolf,deathwolf,dth,0x0cf75471b0fbf76a315a75ebda6600ab92fdc924
Karma DAO,$0.197115,48.0%,karma-dao,karma-dao,karma,0xdfe691f37b6264a90ff507eb359c45d55037951c
Melos Studio,$0.012944302209,47.6%,melos-studio,melos-studio,melos,0x1afb69dbc9f54d08dab1bd3436f8da1af819e647
Populous,$0.047948034007,47.5%,populous,populous,ppt,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a
Feisty Doge NFT,$0.000039145202,47.4%,feisty-doge-nft,feisty-doge-nft,nfd,0xdfdb7f72c1f195c5951a234e8db9806eb0635346
Strips Finance,$1.04,42.7%,strips-finance,strips-finance,strp,0x97872eafd79940c7b24f7bcc1eadb1457347adc9
Dogechain,$0.001628818935,39.8%,dogechain,dogechain,dc,0x7b4328c127b85369d9f82ca0503b000d09cf9180
Shib Original Vision,$0.000000213805,25.1%,shib-original-vision,shib-original-vision,sov,0x2c5bc2ba3614fd27fcc7022ea71d9172e2632c16
A Hunters Dream,$0.000000088462,23.2%,a-hunters-dream,a-hunters-dream,caw,0xf3b9569f82b18aef890de263b84189bd33ebe452
Blox,$0.343668,21.9%,blox,blox,cdt,0x177d39ac676ed1c67a2b268ad7f1e58826e5b0af
SmarDex,$0.005372332161,20.7%,smardex,smardex,sdex,0x5de8ab7e27f6e7a1fff3e5b337584aa43961beef
FLEX Coin,$2.33,17.6%,flex-coin,flex-coin,flex,0xfcf8eda095e37a41e002e266daad7efc1579bc0a
GNY,$0.061182829647,13.3%,gny,gny,gny,0xb1f871ae9462f1b2c6826e88a7827e76f86751d4
Linear,$0.012131920547,12.9%,linear,linear,lina,0x3e9bc21c9b189c09df3ef1b824798658d5011937
Coinweb,$0.024118900299,12.8%,coinweb,coinweb,cweb,0x505b5eda5e25a67e1c24a2bf1a527ed9eb88bf04
Enjinstarter,$0.006152328834,12.1%,enjinstarter,enjinstarter,ejs,0x96610186f3ab8d73ebee1cf950c750f3b1fb79c2
Alchemy Pay,$0.037252944882,11.3%,alchemy-pay,alchemy-pay,ach,0xed04915c23f00a313a544955524eb7dbd823143d
Baby Doge Coin,$0.000000002819,10.8%,baby-doge-coin,baby-doge-coin,babydoge,0xac57de9c1a09fec648e93eb98875b212db0d460b
XEN Crypto,$0.000002705420,10.6%,xen-crypto,xen-crypto,xen,0x06450dee7fd2fb8e39061434babcfc05599a6fb8
Stake DAO,$0.421404,10.1%,stake-dao,stake-dao,sdt,0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f
Poolz Finance [OLD],$0.191599,530.5%,poolz-finance-old,poolz-finance,poolz,0x69a95185ee2a045cdc4bcd1b1df10710395e4e23
Etho Protocol,$0.010603935147,54.2%,etho-protocol,ether-1,etho,0x0b5326da634f9270fb84481dd6f94d3dc2ca7096
SXP,$0.889092,25.7%,sxp,swipe,sxp,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9
Injective,$5.88,13.4%,injective,injective-protocol,inj,0xe28b3b32b6c345a34ff64674606124dd5aceca30
Panther Protocol,$0.048194464638,13.2%,panther-protocol,panther,zkp,0x909e34d3f6124c324ac83dcca84b74398a6fa173
