wallet,num_tokens,num_txns
0x0388b809358d79bc31cb7138227851f1fa21a29e,3,3
0xb758b6576221a7504a7211307092c23d3ee191c9,3,3
0x7cb5648450bee34bd2d5977c0f3dbac0def2ebf9,3,3
0x394a5a96ccc9796ca11b96d3072f05203c8df3d2,3,3
0xfb99d9f5159773f55beba00611c5cc9e9602cb1d,3,3
0x39041f1b366fe33f9a5a79de5120f2aee2577ebc,4,4
0x8f8097a2af8ecb317f05ff284069afaa87763952,4,4
0x8e29d0e2ca8e92a9f27192616e2e9f170fd2a035,3,4
0x6c1c420c04f4d563d6588a97693af902b87be5f1,3,4
0xcc67717e45e9b2e33e899e70123e9305a1eb6a75,3,4
0x1d283807630ffb876a5d78b8e0788e491449f241,3,5
0x5e8304b5600cccba6d6292c6687ac9ead0ec6288,3,5
0x759ec1b3326de6fd4ba316f65a6f689c4e4c3092,3,5
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,4,6
0x00000000000124d994209fbb955e0217b5c2eca1,3,6
0x8e4fd0a080818377adef093d99392813c3526298,3,6
0x9a4ca42bf43333406c9e3fe352afd684bd93f7ce,3,6
0xac38e6ba918587efd3752a580ed8426dc7a57bdd,3,7
0x68abef9e0d00954fa536830cfe721e28e7290a3c,4,8
0x3bc2b2bc5125eacdc64a8188b135a2997dd7324b,3,10
0x54cd47c2f0fb09c468e15344fd68c54272d57246,3,17
0x42b27c044a22acaff04146aa243753ee617a59b5,4,18
0x6cc8dcbca746a6e4fdefb98e1d0df903b107fd21,3,23
0x5828eff23f92e582ddf4fbbc2900e7448e45bd6c,4,26
0x120051a72966950b8ce12eb5496b5d1eeec1541b,5,73
0x382ffce2287252f930e1c8dc9328dac5bf282ba1,11,78
