name,price,change,href_id,api_id,symbol,contract_address
Dogechain,$0.001611256049,38.7%,dogechain,dogechain,dc,0x7b4328c127b85369d9f82ca0503b000d09cf9180
Strips Finance,$0.960728,32.0%,strips-finance,strips-finance,strp,0x97872eafd79940c7b24f7bcc1eadb1457347adc9
Shib Original Vision,$0.000000229290,31.2%,shib-original-vision,shib-original-vision,sov,0x2c5bc2ba3614fd27fcc7022ea71d9172e2632c16
A Hunters Dream,$0.000000088360,23.2%,a-hunters-dream,a-hunters-dream,caw,0xf3b9569f82b18aef890de263b84189bd33ebe452
SmarDex,$0.005411865218,20.4%,smardex,smardex,sdex,0x5de8ab7e27f6e7a1fff3e5b337584aa43961beef
FLEX Coin,$2.34,17.6%,flex-coin,flex-coin,flex,0xfcf8eda095e37a41e002e266daad7efc1579bc0a
Euler,$4.04,15.5%,euler,euler,eul,0xd9fcd98c322942075a5c3860693e9f4f03aae07b
GNY,$0.062569558341,15.5%,gny,gny,gny,0xb1f871ae9462f1b2c6826e88a7827e76f86751d4
Coinweb,$0.024134682056,12.2%,coinweb,coinweb,cweb,0x505b5eda5e25a67e1c24a2bf1a527ed9eb88bf04
Alchemy Pay,$0.037022510068,12.2%,alchemy-pay,alchemy-pay,ach,0xed04915c23f00a313a544955524eb7dbd823143d
Linear,$0.011951241822,11.1%,linear,linear,lina,0x3e9bc21c9b189c09df3ef1b824798658d5011937
Dash 2 Trade,$0.031301873863,10.8%,dash-2-trade,dash-2-trade,d2t,0x4dd942baa75810a3c1e876e79d5cd35e09c97a76
Stake DAO,$0.421179,10.2%,stake-dao,stake-dao,sdt,0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f
IoTeX,$0.028587780883,9.3%,iotex,iotex,iotx,0x6fb3e0a217407efff7ca062d46c26e5d60a14d69
DAYSTARTER,$0.148220,329.9%,daystarter,daystarter,dst,0xe3a46b2bc1d83c731d58cab765d3b45bce789095
Dogger,$0.000246885067,240.9%,dogger,dogger,dogger,0xb3cc3d7e656893f22d2372b0ae57106f6b155cbe
CIA,$0.000008919077,130.9%,cia,cia,cia,0x52f4d5ee6c91e01be67ca1f64b11ed0ee370817d
Stone,$0.024046273746,105.6%,stone-token,stone-token,stn,0xe63d6b308bce0f6193aec6b7e6eba005f41e36ab
Leverj Gluon,$0.003566627483,92.9%,leverj-gluon,leverj-gluon,l2,0xbbff34e47e559ef680067a6b1c980639eeb64d24
ELYFI,$0.019810446916,92.4%,elyfi,elyfi,elfi,0x4da34f8264cb33a5c9f17081b9ef5ff6091116f4
Deesse,$0.000994931183,67.8%,deesse,deesse,love,0xde4ce5447ce0c67920a1371605a39187cb6847c8
DeathWolf,$0.000145331903,63.9%,deathwolf,deathwolf,dth,0x0cf75471b0fbf76a315a75ebda6600ab92fdc924
Shibarium Perpetuals,$0.001960057088,63.0%,shibarium-perpetuals,shibarium-perpetuals,serp,0xfd414e39155f91e94443a9fe97e856569d0f5eec
Sharbi,$0.000011168115,49.7%,sharbi,sharbi,$sharbi,0xf3a3023e6dede84ad88a656a3269f2a36e83c9a9
Melos Studio,$0.012528985932,47.2%,melos-studio,melos-studio,melos,0x1afb69dbc9f54d08dab1bd3436f8da1af819e647
Delrey Inu,$0.936132,46.9%,delrey-inu,delrey-inu,delrey,0xfca89d55a768375ab7ca04485a35a964bea828dd
unshETH,$0.558941,40.1%,unsheth,unsheth,ush,0xe60779cc1b2c1d0580611c526a8df0e3f870ec48
Taraxa,$0.002322235766,37.8%,taraxa,taraxa,tara,0xf001937650bb4f62b57521824b2c20f5b91bea05
SXP,$0.846054,23.3%,sxp,swipe,sxp,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9
Shiryo,$0.000000000013,14.8%,shiryo,shiryo-inu,shiryo-inu,0x1e2f15302b90edde696593607b6bd444b64e8f02
Panther Protocol,$0.048446698332,14.1%,panther-protocol,panther,zkp,0x909e34d3f6124c324ac83dcca84b74398a6fa173
Poolz Finance [OLD],$0.191972,547.1%,poolz-finance-old,poolz-finance,poolz,0x69a95185ee2a045cdc4bcd1b1df10710395e4e23
Etho Protocol,$0.010335192789,46.6%,etho-protocol,ether-1,etho,0x0b5326da634f9270fb84481dd6f94d3dc2ca7096
