wallet,num_tokens,num_txns
0x6c1c420c04f4d563d6588a97693af902b87be5f1,3,3
0x21375e8ff94a9acad555e0d8a4f17c69c5e33bd5,3,3
0x5828eff23f92e582ddf4fbbc2900e7448e45bd6c,3,3
0xb758b6576221a7504a7211307092c23d3ee191c9,4,4
0xcd5bd47d3d1d8412b241ce9015c5032142948c12,3,4
0xacf98af36845ec9aeda29feed2907ea287388cf3,3,4
0x5e8304b5600cccba6d6292c6687ac9ead0ec6288,4,5
0x1d283807630ffb876a5d78b8e0788e491449f241,3,5
0x9797021d4acc56b30a77d82306d7c3f22aabb5c8,3,5
0x39041f1b366fe33f9a5a79de5120f2aee2577ebc,4,6
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,4,6
0x528f3e771a5d15ca265db606e29989da008ce6c3,3,6
0x68abef9e0d00954fa536830cfe721e28e7290a3c,4,8
0x4f2753ead681f1b3ac6496f8a97b2eed63b19726,3,8
0xac38e6ba918587efd3752a580ed8426dc7a57bdd,4,9
0x457dde0290ecff2d21d71869975ed3ab6f5d0648,3,9
0xd782e53a49d564f5fce4ba99555dd25d16d02a75,3,9
0x3bc2b2bc5125eacdc64a8188b135a2997dd7324b,3,10
0xd9408f29026e32852aff8c5c9c8ea834b44b4e1c,3,14
0x839d4641f97153b0ff26ab837860c479e2bd0242,3,17
0x120051a72966950b8ce12eb5496b5d1eeec1541b,3,24
0x8f8097a2af8ecb317f05ff284069afaa87763952,5,33
0xcc67717e45e9b2e33e899e70123e9305a1eb6a75,3,33
0x13307b8854a95946b54a904100afd0767a7a577b,4,34
0xcc88036fa05c86129bf66260c2a905ab2c7b663c,3,40
0x6cc8dcbca746a6e4fdefb98e1d0df903b107fd21,4,47
0x8eb2283f696f2a130134d46e28d3528e19e16868,3,48
0x00000000000124d994209fbb955e0217b5c2eca1,4,51
0x9a4ca42bf43333406c9e3fe352afd684bd93f7ce,3,76
0x95b564f3b3bae3f206aa418667ba000afafacc8a,3,90
0x382ffce2287252f930e1c8dc9328dac5bf282ba1,11,118
