name,price,change,href_id,api_id,symbol,contract_address
GOLCOIN,$3.66,212.6%,golcoin,golcoin,golc,0x095797fd4297fb79883cc912a5ba6313b15c445d
Wrapped Accumulate,$0.067075198209,77.9%,wrapped-accumulate,wrapped-accumulate,wacme,0xdf4ef6ee483953fe3b84abd08c6a060445c01170
0x,$0.360442,54.1%,0x,0x,zrx,0xe41d2489571d322189246dafa5ebde1f4699f498
XEN Crypto,$0.000001875939,25.0%,xen-crypto,xen-crypto,xen,0x06450dee7fd2fb8e39061434babcfc05599a6fb8
UwU Lend,$13.52,22.0%,uwu-lend,uwu-lend,uwu,0x55c08ca52497e2f1534b59e2917bf524d4765257
Zano,$1.02,21.8%,zano,zano,zano,0xdb85f6685950e285b1e611037bebe5b34e2b7d78
Sommelier,$0.189074,21.7%,sommelier,sommelier,somm,0xa670d7237398238de01267472c6f13e5b8010fd1
Presearch,$0.099960188518,21.1%,presearch,presearch,pre,0xec213f83defb583af3a000b1c0ada660b1902a0f
Gamma Strategies,$0.369005,19.9%,gamma-strategies,gamma-strategies,gamma,0x6bea7cfef803d1e3d5f7c0103f7ded065644e197
Tap,$0.007171364960,18.0%,tap,tap,xtp,0x6368e1e18c4c419ddfc608a0bed1ccb87b9250fc
COCOS BCX,$1.66,17.5%,cocos-bcx,cocos-bcx,cocos,0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c
X2Y2,$0.067705477830,17.3%,x2y2,x2y2,x2y2,0x1e4ede388cbc9f4b5c79681b7f94d36a11abebc9
Vita Inu,$0.000000014216,17.1%,vita-inu,vita-inu,vinu,0xafcdd4f666c84fed1d8bd825aa762e3714f652c9
TriasLab,$2.96,15.5%,trias-token,trias-token,trias,0x3a856d4effa670c54585a5d523e96513e148e95d
StarLink,$0.000002728333,14.3%,starlink,starlink,starl,0x8e6cd950ad6ba651f6dd608dc70e5886b1aa6b24
Shina Inu,$0.000001917160,12.4%,shina-inu,shina-inu,shi,0x243cacb4d5ff6814ad668c3e225246efa886ad5a
Blur,$0.647056,12.4%,blur,blur,blur,0x5283d291dbcf85356a21ba090e6db59121208b44
Status,$0.031062110350,11.6%,status,status,snt,0x744d70fdbe2ba4cf95131626614a1763df805b9e
cBAT,$0.005800291931,11.4%,compound-basic-attention-token,compound-basic-attention-token,cbat,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e
SXP,$0.616433,29.4%,sxp,swipe,sxp,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9
DSLA Protocol,$0.002558952362,19.9%,dsla-protocol,stacktical,dsla,0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe
OAX,$0.338862,11.5%,oax,openanx,oax,0x701c244b988a513c945973defa05de933b23fe1d
